,classification,ushmm_article_freq,chatgpt_4o_response_freq,gemini_response_freq,grok_response_freq,ushmm_article_freq_per_1000_words,chatgpt_4o_response_freq_per_1000_words,gemini_response_freq_per_1000_words,grok_response_freq_per_1000_words,ushmm_article_articles,chatgpt_4o_response_articles,gemini_response_articles,grok_response_articles,ushmm_article_distinct_articles,chatgpt_4o_response_distinct_articles,gemini_response_distinct_articles,grok_response_distinct_articles,ushmm_article_articles_percentage,chatgpt_4o_response_articles_percentage,gemini_response_articles_percentage,grok_response_articles_percentage
race,political,1972.0,197.0,256.0,140.0,3.8,6.33,5.8,7.23,289.0,91.0,131.0,68.0,67.0,91.0,131.0,68.0,28.9,9.1,13.1,6.8
Aryan,political,1029.0,290.0,253.0,202.0,2.45,6.59,5.9,8.04,232.0,128.0,118.0,90.0,37.0,128.0,118.0,90.0,23.2,12.8,11.8,9.0
abort*,political,24.0,0.0,0.0,1.0,3.12,0.0,0.0,2.15,7.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.7,0.0,0.0,0.1
rape,political,41.0,7.0,11.0,4.0,0.72,2.71,2.57,2.58,34.0,7.0,11.0,4.0,9.0,7.0,11.0,4.0,3.4,0.7,1.1,0.4
handicap*,political,2.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
disabled/disabilit*,political,514.0,269.0,133.0,221.0,5.4,5.14,8.9,5.11,296.0,232.0,123.0,205.0,37.0,232.0,123.0,203.0,29.6,23.2,12.3,20.5
mentally ill,political,14.0,2.0,0.0,0.0,1.5,2.01,0.0,0.0,14.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.4,0.2,0.0,0.0
mentally,political,34.0,9.0,3.0,7.0,1.47,2.38,3.44,4.82,29.0,9.0,3.0,5.0,9.0,9.0,3.0,5.0,2.9,0.9,0.3,0.5
gas chamber,political,695.0,183.0,83.0,113.0,1.72,4.63,4.84,5.48,224.0,127.0,62.0,79.0,50.0,127.0,62.0,79.0,22.4,12.7,6.2,7.9
Gyps*,political,567.0,170.0,47.0,17.0,0.97,3.74,2.9,5.62,367.0,157.0,38.0,16.0,54.0,157.0,38.0,16.0,36.7,15.7,3.8,1.6
Roma,political,1329.0,478.0,328.0,352.0,1.82,4.44,4.98,5.47,463.0,356.0,254.0,277.0,99.0,356.0,254.0,275.0,46.3,35.6,25.4,27.7
sterilization,political,131.0,46.0,22.0,32.0,1.17,4.28,3.16,4.54,50.0,31.0,19.0,23.0,11.0,31.0,19.0,23.0,5.0,3.1,1.9,2.3
suicide,political,83.0,46.0,26.0,30.0,0.59,3.46,2.16,3.68,76.0,40.0,23.0,29.0,24.0,40.0,23.0,29.0,7.6,4.0,2.3,2.9
antisemit*/anti-semit*,political,1854.0,365.0,283.0,289.0,3.25,9.47,6.52,13.11,338.0,212.0,165.0,162.0,71.0,212.0,165.0,162.0,33.8,21.2,16.5,16.2
racist/racial,political,1495.0,483.0,287.0,290.0,4.96,24.59,20.16,24.87,392.0,203.0,169.0,123.0,72.0,203.0,169.0,123.0,39.2,20.3,16.9,12.3
tragic*,emotional,21.0,63.0,39.0,25.0,0.73,3.37,3.71,3.44,19.0,58.0,34.0,25.0,7.0,58.0,34.0,25.0,1.9,5.8,3.4,2.5
dramatic,emotional,62.0,13.0,9.0,3.0,1.26,2.44,1.72,2.42,54.0,13.0,9.0,3.0,11.0,13.0,9.0,3.0,5.4,1.3,0.9,0.3
horrific,emotional,76.0,122.0,108.0,115.0,0.5,3.63,3.21,3.89,40.0,119.0,104.0,106.0,4.0,119.0,104.0,106.0,4.0,11.9,10.4,10.6
atrocit*,emotional,590.0,340.0,167.0,280.0,1.34,3.81,3.44,4.64,352.0,277.0,134.0,223.0,55.0,277.0,134.0,223.0,35.2,27.7,13.4,22.3
torture,emotional,77.0,30.0,58.0,15.0,0.4,3.2,3.03,4.44,59.0,29.0,52.0,14.0,15.0,29.0,52.0,14.0,5.9,2.9,5.2,1.4
cruel*,emotional,43.0,58.0,42.0,32.0,1.15,3.31,3.35,4.88,20.0,52.0,41.0,26.0,10.0,52.0,41.0,26.0,2.0,5.2,4.1,2.6
powerful,emotional,151.0,195.0,88.0,53.0,0.58,3.18,2.73,3.76,117.0,184.0,73.0,52.0,20.0,184.0,73.0,52.0,11.7,18.4,7.3,5.2
major,emotional,831.0,269.0,184.0,187.0,1.35,3.68,3.1,4.22,410.0,208.0,128.0,138.0,103.0,208.0,128.0,138.0,41.0,20.8,12.8,13.8
testament,emotional,73.0,13.0,21.0,14.0,1.3,2.68,2.54,3.27,38.0,13.0,21.0,14.0,3.0,13.0,21.0,14.0,3.8,1.3,2.1,1.4
significant,emotional,213.0,208.0,225.0,316.0,0.58,3.27,2.92,4.58,161.0,188.0,175.0,241.0,50.0,188.0,175.0,241.0,16.1,18.8,17.5,24.1
example,emotional,551.0,192.0,107.0,121.0,1.06,3.83,2.91,3.83,307.0,153.0,87.0,103.0,61.0,153.0,87.0,103.0,30.7,15.3,8.7,10.3
reminder,emotional,0.0,148.0,125.0,133.0,0.0,3.22,2.99,3.87,0.0,147.0,118.0,128.0,0.0,147.0,118.0,128.0,0.0,14.7,11.8,12.8
